Alvin and the Chipmunks: The Road Chip,85886987,16,2015
Everest,43309450,73,2015
Creed,109767581,94,2015
Ted 2,81284830,46,2015
San Andreas,155190832,48,2015
Jupiter Ascending,47482519,26,2015
The Hunger Games: Mockingjay - Part 2,281723902,70,2015
The Intern,75764672,62,2015
Pitch Perfect 2,183785415,66,2015
Hotel Transylvania 2,169700110,54,2015
Godzilla,200676069,74,2014
Need for Speed,43568507,23,2014
Captain America: The Winter Soldier,259746958,89,2014
Exodus: Gods and Kings,65014513,27,2014
The Maze Runner,102427862,65,2014
The Grand Budapest  Hotel,59076019,92,2014
Transformers: Age of Extinction,245439076,18,2014
The Fault in Our Stars,124872350,81,2014
Edge of Tomorrow,100206256,91,2014
American Sniper,350126372,72,2014
World War Z,202359711,67,2013
The Wolverine,132556852,69,2013
Pacific Rim,101802906,71,2013
Oz the Great and Powerful,234770996,59,2013
Star Trek Into Darkness,228778661,86,2013
The Secret Life of Walter Mitty,58236838,51,2013
47 Ronin,38362475,14,2013
Epic,107518682,64,2013
The Wolf of Wall Street,116900694,77,2013
American Hustle,150117807,93,2013
Skyfall,304360277,93,2012
The Dark Knight Rises,448139099,87,2012
The Hunger Games,408010692,84,2012
Rise of the Guardians,103412758,73,2012
Step Up Revolution,35074677,42,2012
Magic Mike,113721571,80,2012
Jack Reacher,80070736,62,2012
Resident Evil: Retribution,42345531,31,2012
Life of Pi,124987022,87,2012
Wreck-It Ralph,189412677,86,2012
